	Kingdom	Phylum	SGB
uSGB_6179_(Clostridium_genus)	Bacteria	Firmicutes	uSGB
uSGB_15158_(Clostridium_genus)	Bacteria	Firmicutes	uSGB
uSGB_4750_(Clostridium_genus)	Bacteria	Firmicutes	uSGB
kSGB_4037_(Clostridium_innocuum)	Bacteria	Firmicutes	kSGB
kSGB_14853_(Clostridium_leptum)	Bacteria	Firmicutes	kSGB
kSGB_6169_(Clostridium_neonatale)	Bacteria	Firmicutes	kSGB
kSGB_6187_(Clostridium_paraputrificum)	Bacteria	Firmicutes	kSGB
kSGB_15154_(Clostridium_phoceensis)	Bacteria	Firmicutes	kSGB
kSGB_6749_(Clostridium_saccharogumia)	Bacteria	Firmicutes	kSGB
kSGB_4701_(Clostridium_saccharolyticum)	Bacteria	Firmicutes	kSGB
kSGB_4630_(Clostridium_scindens)	Bacteria	Firmicutes	kSGB
kSGB_4705_(Clostridium_sp_AF02_29)	Bacteria	Firmicutes	kSGB
kSGB_4714_(Clostridium_sp_AF20_17LB)	Bacteria	Firmicutes	kSGB
kSGB_4914_(Clostridium_sp_AF34_10BH)	Bacteria	Firmicutes	kSGB
kSGB_4644_(Clostridium_sp_AF36_4)	Bacteria	Firmicutes	kSGB
kSGB_4749_(Clostridium_sp_AM22_11AC)	Bacteria	Firmicutes	kSGB
kSGB_4652_(Clostridium_sp_AM49_4BH)	Bacteria	Firmicutes	kSGB
kSGB_5195_(Clostridium_sp_ASF356)	Bacteria	Firmicutes	kSGB
kSGB_4753_(Clostridium_sp_AT4)	Bacteria	Firmicutes	kSGB
kSGB_29097_(Clostridium_sp_CL_2)	Bacteria	Firmicutes	kSGB
kSGB_6747_(Clostridium_spiroforme)	Bacteria	Firmicutes	kSGB
kSGB_6183_(Clostridium_tertium)	Bacteria	Firmicutes	kSGB
kSGB_14557_(Collinsella_aerofaciens)	Bacteria	Actinobacteria	kSGB
uSGB_14618_(Collinsella_genus)	Bacteria	Actinobacteria	uSGB
uSGB_14615_(Collinsella_genus)	Bacteria	Actinobacteria	uSGB
uSGB_14399_(Collinsella_genus)	Bacteria	Actinobacteria	uSGB
uSGB_14440_(Collinsella_genus)	Bacteria	Actinobacteria	uSGB
uSGB_14610_(Collinsella_genus)	Bacteria	Actinobacteria	uSGB
kSGB_14741_(Collinsella_intestinalis)	Bacteria	Actinobacteria	kSGB
kSGB_6771_(Coprobacillus_cateniformis)	Bacteria	Firmicutes	kSGB
kSGB_4670_(Coprococcus_catus)	Bacteria	Firmicutes	kSGB
kSGB_4577_(Coprococcus_comes)	Bacteria	Firmicutes	kSGB
kSGB_5117_(Coprococcus_eutactus)	Bacteria	Firmicutes	kSGB
uSGB_4579_(Coprococcus_genus)	Bacteria	Firmicutes	uSGB
kSGB_33580_(Coriobacteriaceae_bacterium)	Bacteria	Actinobacteria	kSGB
kSGB_33579_(Coriobacteriaceae_bacterium)	Bacteria	Actinobacteria	kSGB
uSGB_14372_(Coriobacteriaceae_family)	Bacteria	Actinobacteria	uSGB
